Entity Name,Category,Has Affiliate?,Commission Rate,Commission Type,Cookie Duration (days),Revenue Potential,Ethical Score,Signup URL,Payout Method,Payout Threshold,Notes,Research Status
Gabriel St-Germain - eCom Blueprint,Guru Course,No (INACTIVE),N/A,N/A,N/A,None,3/10,CREATOR DISAPPEARED,N/A,N/A,Do NOT promote - creator inactive,COMPLETE
Harry Coleman - Beast of Ecom,Guru Course,Unknown,Unknown,Unknown,Unknown,Unknown,5/10,NEEDS RESEARCH,Unknown,Unknown,Appears inactive - verify status,NEEDS INQUIRY
Udemy Dropshipping Courses,Guru Course,Yes,10-15%,One-time,7,Medium,7/10,https://www.udemy.com/affiliate/,PayPal,$50,100+ courses available,COMPLETE
Skillshare,Guru Course,Yes,$10 per trial + $7 recurring,Hybrid,30,Low-Medium,8/10,https://www.skillshare.com/teach/partnerships,PayPal,$100,Creative/design focus,COMPLETE
Sell The Trend,Tool,Yes,20-30% recurring for 12mo,Recurring,30,Medium,7/10,https://www.sellthetrend.com/affiliates,PayPal,$50,Product research tool,COMPLETE
Ecomhunt,Tool,Yes,Unknown,Recurring,Unknown,Medium,7/10,NEEDS RESEARCH,Unknown,Unknown,Product research - get commission rate,NEEDS INQUIRY
Niche Scraper,Tool,Yes,25% recurring,Recurring,30,Low-Medium,7/10,https://nichescraper.com/affiliates,PayPal,$100,Product research tool,COMPLETE
Thieve.co,Tool,Yes,30% recurring,Recurring,30,Low,6/10,https://thieve.co/pages/affiliates,PayPal,$50,Product research - saturated market,COMPLETE
Klaviyo,Tool,Yes (selective),10-20% recurring,Recurring,90,High,9/10,https://www.klaviyo.com/partner,Direct deposit,$100,Email marketing - selective partner program,COMPLETE
Mailchimp,Tool,Yes,$30 credit OR 25%,Hybrid,90,Medium,8/10,https://mailchimp.com/partners/,PayPal,$50,Email marketing - competitive,COMPLETE
Canva Pro,Tool,Yes,15-80% (varies by plan),Recurring,30,Medium-High,10/10,https://www.canva.com/affiliates/,PayPal,$25,Design tool - useful beyond dropshipping,COMPLETE
AutoDS,Tool,Yes,20% recurring for 3mo,Recurring,30,Medium,7/10,https://autods.com/affiliates/,PayPal,$50,Automation tool,COMPLETE
DSers,Tool,Yes,Unknown,Unknown,Unknown,Low-Medium,7/10,NEEDS RESEARCH,Unknown,Unknown,AliExpress official tool - check affiliate,NEEDS INQUIRY
Oberlo,Tool,No (DISCONTINUED),N/A,N/A,N/A,None,N/A,SHUT DOWN JUNE 2022,N/A,N/A,Do NOT mention - service discontinued,COMPLETE
Spocket,Supplier,Yes,20-30% recurring for 15mo (up to $445),Recurring,30,Very High,8/10,https://www.spocket.co/affiliates,PayPal,$100,Domestic suppliers - better shipping,COMPLETE
CJDropshipping,Supplier,Yes,2% for 365 days,Recurring,365,Low,6/10,https://cjdropshipping.com/affiliate-program.html,PayPal,$50,Low commission but long cookie,COMPLETE
Printful,Supplier,Yes,10% for 12mo,Recurring,30,Medium-High,9/10,https://www.printful.com/affiliates,PayPal/Direct,$50,POD model - better than dropshipping,COMPLETE
Printify,Supplier,Yes,5% for 12mo,Recurring,30,Medium,9/10,https://printify.com/affiliates/,PayPal,$50,POD model - lower commission than Printful,COMPLETE
AliExpress,Supplier,Yes,3-9%,One-time,30,Low,5/10,https://portals.aliexpress.com,Alipay/Bank,Varies,Poor terms - short cookie low commission,COMPLETE
Alibaba,Supplier,Yes,6-15%,One-time,30,Medium,6/10,https://www.alibaba.com/marketing/affiliate_program,Bank transfer,$100,B2B focused - better for bulk,COMPLETE
Gooten,Supplier,No,N/A,N/A,N/A,None,N/A,NO AFFILIATE PROGRAM,N/A,N/A,No monetization path,COMPLETE
SaleHoo,Supplier,Yes,25% recurring,Recurring,120,Medium,7/10,https://www.salehoo.com/affiliates,PayPal,$50,Supplier directory,COMPLETE
Wholesale2B,Supplier,Yes,20% recurring,Recurring,90,Low-Medium,6/10,https://www.wholesale2b.com/affiliate-program,PayPal,$100,Supplier directory,COMPLETE
Upwork,Alternative,Yes,70% of first $150 + 5% repeat,Hybrid,365,Very High,10/10,https://www.upwork.com/affiliates/,PayPal,$25,PRIORITY - better path than dropshipping,COMPLETE
Fiverr,Alternative,Yes,$15-150 CPA + RevShare,Hybrid,30,Very High,10/10,https://affiliates.fiverr.com,PayPal,$100,PRIORITY - freelancing alternative,COMPLETE
Udemy (Skills),Alternative,Yes,10-15%,One-time,7,High,10/10,https://www.udemy.com/affiliate/,PayPal,$50,Skill development investment,COMPLETE
Coursera,Alternative,Yes,10-45%,One-time,30,Medium,10/10,https://www.coursera.org/affiliate,PayPal,$50,Professional development,COMPLETE
LinkedIn Learning,Alternative,Unknown,Unknown,Unknown,Unknown,Medium,10/10,NEEDS RESEARCH,Unknown,Unknown,Professional skills - research affiliate,NEEDS INQUIRY
Jungle Scout,Alternative,Yes,30% recurring,Recurring,30,Medium,8/10,https://www.junglescout.com/affiliates/,PayPal,$50,Amazon FBA alternative,COMPLETE
Helium 10,Alternative,Yes,25% recurring for 12mo,Recurring,30,Medium,8/10,https://www.helium10.com/affiliates,PayPal,$50,Amazon FBA tools,COMPLETE
Webflow,Alternative,Yes,50%,Recurring,90,Medium,9/10,https://webflow.com/affiliates,Stripe,$100,Web design career path,COMPLETE
Squarespace,Alternative,Yes,$200 per sale OR 20%,Hybrid,45,Medium,9/10,https://www.squarespace.com/affiliates,Direct deposit,$100,Web design alternative,COMPLETE
Stripe,Payment,Yes,Revenue share varies,RevShare,90,Low,9/10,https://stripe.com/partners/,Direct deposit,Varies,Payment processing,COMPLETE
PayPal,Payment,No,N/A,N/A,N/A,None,N/A,NO AFFILIATE PROGRAM,N/A,N/A,No direct affiliate - only PayPal Credit offers,COMPLETE
Klarna,Payment,Yes,Unknown,Unknown,Unknown,Unknown,8/10,NEEDS RESEARCH,Unknown,Unknown,Buy now pay later - check affiliate,NEEDS INQUIRY
AfterPay,Payment,Yes,Unknown,Unknown,Unknown,Unknown,8/10,NEEDS RESEARCH,Unknown,Unknown,BNPL service - research program,NEEDS INQUIRY
Facebook Ads Library,Tool,No,N/A,N/A,N/A,None,N/A,FREE TOOL - NO AFFILIATE,N/A,N/A,Free research tool,COMPLETE
Google Analytics,Tool,No,N/A,N/A,N/A,None,N/A,FREE TOOL - NO AFFILIATE,N/A,N/A,Free analytics,COMPLETE
Shopify App Store (various),Tool,Varies,Varies,Varies,Varies,Varies,Varies,CHECK INDIVIDUAL APPS,Varies,Varies,Many apps have affiliate programs,NEEDS EXPANSION
ThirstyAffiliates,Tool,Yes,30%,Recurring,60,Low,10/10,https://thirstyaffiliates.com/affiliates/,PayPal,$50,Affiliate link management,COMPLETE
Pretty Links,Tool,Yes,30%,Recurring,60,Low,10/10,https://prettylinks.com/affiliates/,PayPal,$50,Link shortening/tracking,COMPLETE
ConvertKit,Tool,Yes,30% recurring,Recurring,90,Medium,9/10,https://convertkit.com/affiliate,Direct deposit,$25,Email marketing for creators,COMPLETE
ActiveCampaign,Tool,Yes,20-30% recurring,Recurring,90,Medium,9/10,https://www.activecampaign.com/partner/affiliate,PayPal,$50,Email automation,COMPLETE
AWeber,Tool,Yes,30% recurring,Recurring,365,Medium,8/10,https://www.aweber.com/affiliates.htm,PayPal,$30,Email marketing,COMPLETE
GetResponse,Tool,Yes,$100-150 per sale,One-time,120,Medium,8/10,https://www.getresponse.com/affiliates,PayPal,$50,Email/webinar platform,COMPLETE
Leadpages,Tool,Yes,30-50% recurring,Recurring,90,Medium,8/10,https://www.leadpages.com/affiliates,PayPal,$50,Landing page builder,COMPLETE
ClickFunnels,Tool,Yes,40% recurring,Recurring,45,High,7/10,https://www.clickfunnels.com/affiliates,Direct deposit,$100,Sales funnel builder,COMPLETE
ThriveCart,Tool,Yes,40% lifetime,Recurring forever,60,Very High,9/10,https://thrivecart.com/affiliates/,PayPal,$100,Shopping cart - lifetime commission,COMPLETE
SamCart,Tool,Yes,40% recurring,Recurring,60,Medium-High,9/10,https://samcart.com/affiliates/,PayPal,$100,Shopping cart platform,COMPLETE
Google Ads,Advertising,No,N/A,N/A,N/A,None,N/A,NO AFFILIATE PROGRAM,N/A,N/A,Direct advertising platform,COMPLETE
Facebook/Meta Ads,Advertising,No,N/A,N/A,N/A,None,N/A,NO AFFILIATE PROGRAM,N/A,N/A,Direct advertising platform,COMPLETE
AdEspresso,Tool,Yes,30% recurring,Recurring,90,Low,8/10,https://adespresso.com/affiliates/,PayPal,$100,FB/Google ad management,COMPLETE
AdRoll,Tool,Yes,20%,Recurring,30,Low-Medium,8/10,https://www.adroll.com/partners/affiliate,PayPal,$100,Retargeting platform,COMPLETE
Unbounce,Tool,Yes,20% recurring,Recurring,90,Medium,9/10,https://unbounce.com/partners/affiliate/,PayPal,$50,Landing page optimization,COMPLETE
Instapage,Tool,Yes,30% recurring,Recurring,90,Medium,9/10,https://instapage.com/partners/affiliate-program,PayPal,$50,Landing page builder,COMPLETE
Semrush,Tool,Yes,$200 per trial OR 40% recurring,Hybrid,120,High,9/10,https://www.semrush.com/affiliates/,PayPal,$50,SEO/marketing research,COMPLETE
Ahrefs,Tool,Yes,20% recurring,Recurring,90,Medium,9/10,https://ahrefs.com/affiliates,PayPal,$500,SEO research tool,COMPLETE
Moz,Tool,Yes,25% recurring,Recurring,30,Low-Medium,8/10,https://moz.com/partners/affiliate,PayPal,$100,SEO tools,COMPLETE
Grammarly,Tool,Yes,$20 per sale OR 20%,Hybrid,90,Medium,10/10,https://www.grammarly.com/affiliates,PayPal,$50,Writing tool - universally useful,COMPLETE
Loom,Tool,Yes,25% recurring,Recurring,90,Low-Medium,9/10,https://www.loom.com/affiliates,Stripe,$50,Video messaging,COMPLETE
Zapier,Tool,Yes,Revenue share varies,RevShare,90,Medium,9/10,https://zapier.com/partners/affiliate,Stripe,Varies,Automation platform,COMPLETE
Calendly,Tool,Yes,20% recurring,Recurring,90,Low,9/10,https://calendly.com/pages/affiliates,Stripe,$50,Scheduling tool,COMPLETE
Notion,Tool,Yes,50%,Recurring,90,Medium,10/10,https://www.notion.so/affiliates,Stripe,$20,Productivity tool,COMPLETE
Asana,Tool,Yes,Revenue share,RevShare,90,Low-Medium,9/10,https://asana.com/partners/affiliates,Direct deposit,$100,Project management,COMPLETE
Trello,Tool,No,N/A,N/A,N/A,None,N/A,NO AFFILIATE (Atlassian partner program only),N/A,N/A,Free tier widely used,COMPLETE
